"player_name","salary","season","avg_pts_per_min"
"marcus morris sr.",1.5e+07,2020,0.474971430901279
"jrue holiday",25976111,2019,0.570591822998423
"dwight howard",21436271,2015,0.426353013941857
"shaquille harrison",1311265,2019,0.47419778856617
"kyle korver",5239437,2017,0.386996913415334
"gerald green",1620564,2020,0.851515151515152
"dario saric",2318280,2017,0.505289619318582
"de'andre hunter",7068360,2020,0.48489033577772
"shaun livingston",5305000,2015,0.340749338723408
"jamal crawford",4328000,2018,0.366916656601244
"kyrie irving",31742000,2020,0.765738408817954
"ivan rabb",1378242,2019,0.570175438596491
"bismack biyombo",1.7e+07,2019,0.382532978672427
"ian clark",980431,2017,0.370808731442878
"langston galloway",845059,2016,0.362625178882441
"stanley johnson",2841960,2016,0.259303198718253
"ersan ilyasova",7900000,2015,0.411541719090525
"dante exum",9600000,2020,0.311999381692476
"clint capela",14896552,2020,0.462757529515304
"jrue holiday",9904495,2015,0.597174057726798
"jonas jerebko",4e+06,2018,0.337179501634314
"andre iguodala",11710456,2016,0.285680876297251
"norman powell",650000,2016,0.446986738600921
"d.j. wilson",2534280,2018,0.337352875504166
"tyson chandler",1.3e+07,2018,0.209911568608835
"kendrick perkins",274573,2015,0.201151829807209
"rudy gobert",1127400,2015,0.290373345883085
"dzanan musa",1911600,2020,0
"brad wanamaker",838464,2019,0.35007664870971
"jakarr sampson",980431,2017,0.33345003919306
"tim frazier",59686,2015,0.260693877653538
"wesley matthews",17145838,2017,0.371793348623941
"tyler zeller",8e+06,2017,0.381717220202211
"matthew dellavedova",9607500,2018,0.324046097652067
"shabazz napier",1294440,2016,0.447917857678186
"jeff teague",8e+06,2016,0.475796627914084
"derrick jones jr.",1645357,2020,0.320840486712627
"terry rozier",3050390,2019,0.52416252290691
"marcus morris sr.",5375000,2019,0.522995906458849
"elfrid payton",8e+06,2020,0.406019312654509
"austin daye",53838,2015,0.442063492063492
"nikola vucevic",12750000,2019,0.628056265398454
"aaron brooks",2700000,2017,Inf
"jayson tatum",7830000,2020,0.754372060041466
