X,player_name,salary,season
1229,jordan hill,4000000,2017
681,devin harris,4053446,2016
107,robin lopez,6124729,2015
389,jared cunningham,915243,2015
1151,corey brewer,7612172,2017
1743,festus ezeli,7400000,2018
1158,rodney stuckey,7000000,2017
2939,malik beasley,2731714,2020
1799,greivis vasquez,4347826,2018
325,miles plumlee,1169880,2015
1274,dion waiters,2898000,2017
1204,jonas jerebko,5000000,2017
1348,rondae hollis-jefferson,1395600,2017
795,lance thomas,1636842,2016
1407,damjan rudez,980431,2017
2873,frank kaminsky,4767000,2020
3051,frank jackson,1618520,2020
2054,will bynum,980431,2018
1577,alonzo gee,57672,2017
2974,anfernee simons,2149560,2020
1027,dwight howard,23180275,2017
2961,jarrett allen,2376840,2020
1853,jerian grant,2639314,2018
2744,luke babbitt,14651700,2020
905,justin holiday,947276,2016
1488,andrew andrews,543471,2017
2783,dwight powell,10259375,2020
2738,dennis schroder,15500000,2020
2318,jamychal green,7666667,2019
2494,jacob evans,1644240,2019
104,jarrett jack,6300000,2015
578,monta ellis,10300000,2016
2311,shaun livingston,8307692,2019
2560,dillon brooks,1378242,2019
368,diante garrett,915243,2015
3118,david stockton,1378242,2020
746,frank kaminsky,2612520,2016
2357,dwight howard,5337000,2019
2088,isaiah briscoe,815615,2018
379,khris middleton,915243,2015
2742,marcus morris sr.,15000000,2020
375,jarvis varnado,915243,2015
1469,jordan mcrae,874636,2017
2184,jrue holiday,25976111,2019
4,dwight howard,21436271,2015
2593,shaquille harrison,1311265,2019
338,xavier henry,1082000,2015
1199,kyle korver,5239437,2017
1335,david lee,1551659,2017
2490,julyan stone,1656092,2019
3040,gerald green,1620564,2020
1297,dario saric,2318280,2017
931,cleanthony early,845059,2016
2831,de'andre hunter,7068360,2020
129,shaun livingston,5305000,2015
1800,jamal crawford,4328000,2018
2677,kyrie irving,31742000,2020
2635,andrew bogut,307648,2019
2569,ivan rabb,1378242,2019
2227,bismack biyombo,17000000,2019
1441,ian clark,980431,2017
939,langston galloway,845059,2016
734,stanley johnson,2841960,2016
81,ersan ilyasova,7900000,2015
2793,dante exum,9600000,2020
2743,clint capela,14896552,2020
57,jrue holiday,9904495,2015
1809,jonas jerebko,4000000,2018
568,andre iguodala,11710456,2016
952,norman powell,650000,2016
1436,robbie hummel,980431,2017
1857,d.j. wilson,2534280,2018
1674,tyson chandler,13000000,2018
725,tibor pleiss,2900000,2016
482,kendrick perkins,274573,2015
330,rudy gobert,1127400,2015
2995,dzanan musa,1911600,2020
2606,brad wanamaker,838464,2019
1424,jakarr sampson,980431,2017
503,tim frazier,59686,2015
1053,wesley matthews,17145838,2017
2750,marcin gortat,13565218,2020
1146,tyler zeller,8000000,2017
1711,matthew dellavedova,9607500,2018
820,shabazz napier,1294440,2016
392,doron lamb,915243,2015
602,jeff teague,8000000,2016
3018,derrick jones jr.,1645357,2020
1494,brady heslip,543471,2017
2418,terry rozier,3050390,2019
2355,marcus morris sr.,5375000,2019
2813,elfrid payton,8000000,2020
505,austin daye,53838,2015
2258,nikola vucevic,12750000,2019
1282,aaron brooks,2700000,2017
580,gerald wallace,10105855,2016
2819,jayson tatum,7830000,2020
1892,henry ellenson,1857480,2018
2927,zhaire smith,3058800,2020
536,demarcus cousins,15851950,2016
1134,ersan ilyasova,8400000,2017
2570,damyean dotson,1378242,2019
2529,omri casspi,1512601,2019
2036,toure' murry,980431,2018
1797,devin harris,4402546,2018
2423,jakob poeltl,2947320,2019
1249,buddy hield,3517200,2017
256,jordan farmar,2077000,2015
3111,jaylen nowell,1400000,2020
2080,rashawn thomas,815615,2018
2638,jimmer fredette,208509,2019
3060,mitchell robinson,1599712,2020
2845,wesley johnson,6134520,2020
2705,chandler parsons,25102511,2020
1315,kelly oubre jr.,2006640,2017
1807,leandro barbosa,4000000,2018
510,kobe bryant,25000000,2016
2074,dillon brooks,815615,2018
1235,mario hezonja,3909840,2017
1277,tomas satoransky,2870813,2017
1495,e.j. singler,543471,2017
2980,caleb swanigan,2033160,2020
818,tim hardaway jr.,1304520,2016
494,toney douglas,107676,2015
67,mike conley,8694216,2015
634,karl-anthony towns,5703600,2016
2970,luke kornet,2250000,2020
2948,harry giles iii,2578800,2020
1710,meyers leonard,9904495,2018
2273,marcus smart,11660716,2019
696,mario hezonja,3741480,2016
2083,matt jones,815615,2018
682,lavoy allen,4050000,2016
171,devin harris,3878896,2015
1565,chasson randle,143860,2017
449,erick green,507336,2015
590,lance stephenson,9000000,2016
236,noah vonleh,2524200,2015
2745,danny green,14634146,2020
3127,carsen edwards,1228026,2020
2675,gordon hayward,32700690,2020
2249,clint capela,13793104,2019
2791,john henson,9732396,2020
2919,bam adebayo,3454080,2020
127,spencer hawes,5305000,2015
2464,terrance ferguson,2118840,2019
2375,kyle o'quinn,4449000,2019
700,will barton,3533333,2016
3135,dewan hernandez,898310,2020
1998,dequan jones,1312611,2018
1785,dirk nowitzki,5000000,2018
1697,patty mills,10714286,2018
1814,willie cauley-stein,3704160,2018
1910,caron butler,1551659,2018
2966,dejounte murray,2321735,2020
1482,aj hammons,650000,2017
520,brook lopez,19689000,2016
1647,evan turner,17131148,2018
270,john henson,1987320,2015
2568,abdel nader,1378242,2019
1527,tim quarterman,543471,2017
595,brandon jennings,8344497,2016
1950,salah mejri,1471382,2018
1941,luc mbah a moute,1471382,2018
447,brady heslip,507336,2015
974,aaron harrison,525093,2016
1530,cameron jones,543471,2017
1118,al jefferson,10314532,2017
2181,damian lillard,27977689,2019
1504,richard solomon,543471,2017
2735,brandon knight,15643750,2020
2386,glenn robinson iii,4075000,2019
2634,pau gasol,333285,2019
1690,kemba walker,12000000,2018
1509,ryan arcidiacono,543471,2017
2043,shayne whittington,980431,2018
1948,donald sloan,1471382,2018
599,channing frye,8193029,2016
50,larry sanders,11000000,2015
571,thaddeus young,11235955,2016
2416,bryn forbes,3125000,2019
776,t.j. warren,2041080,2016
2239,ricky rubio,14975000,2019
1362,larry nance jr.,1207680,2017
2049,jorge gutierrez,980431,2018
2021,john jenkins,1050961,2018
2663,russell westbrook,38506482,2020
1754,jae crowder,6796117,2018
1137,e'twaun moore,8081363,2017
1684,nikola mirotic,12500000,2018
1589,stephen curry,37457154,2018
1358,brice johnson,1273920,2017
274,giannis antetokounmpo,1873200,2015
926,tyler johnson,845059,2016
82,tayshaun prince,7707865,2015
1189,tyler johnson,5628000,2017
377,aaron brooks,915243,2015
2153,tim quarterman,96406,2018
3011,julyan stone,1656092,2020
788,james young,1749840,2016
2930,ryan arcidiacono,3000000,2020
2795,delon wright,9473684,2020
182,darrell arthur,3457149,2015
1237,thabo sefolosha,3850000,2017
1207,kyle singler,4837500,2017
2982,mike muscala,2028594,2020
2107,rasheed sulaimon,543471,2018
623,carl landry,6500000,2016
574,tyreke evans,10734586,2016
1400,raymond felton,980431,2017
2624,wesley matthews,512746,2019
237,james johnson,2500000,2015
870,robert sacre,981348,2016
116,anthony davis,5607240,2015
1452,d.j. kennedy,874636,2017
2282,tony snell,10807143,2019
2122,stefan jankovic,543471,2018
982,bo mccalebb,525093,2016
2408,devin booker,3314365,2019
1389,willie reed,1015696,2017
1318,jusuf nurkic,1921320,2017
3044,jarell martin,1620564,2020
2206,danilo gallinari,21587579,2019
1080,rajon rondo,14000000,2017
697,patty mills,3578947,2016
2486,kyle kuzma,1689840,2019
1471,christian wood,874636,2017
666,jahlil okafor,4582680,2016
975,christian wood,525093,2016
1738,boris diaw,7500000,2018
553,brandon knight,13500000,2016
2594,elie okobo,1238464,2019
2360,thabo sefolosha,5250000,2019
2685,demar derozan,27739975,2020
15,paul george,15937290,2015
2412,kelly oubre jr.,3208630,2019
1291,domantas sabonis,2440200,2017
465,cameron bairstow,507336,2015
1259,jamal murray,3210840,2017
801,bruno caboclo,1524000,2016
587,rajon rondo,9500000,2016
2746,rudy gay,14500000,2020
2157,marshon brooks,60283,2018
684,jordan hill,4000000,2016
1396,henry sims,980431,2017
1322,kevin seraphin,1800000,2017
2247,taj gibson,14000000,2019
2259,kelly olynyk,12537527,2019
47,deandre jordan,11440123,2015
324,clint capela,1189200,2015
121,courtney lee,5450000,2015
3176,ky bowman,350189,2020
1295,trey lyles,2340600,2017
59,anderson varejao,9704545,2015
2455,denzel valentine,2280600,2019
997,chase budinger,206192,2016
2585,monte morris,1349383,2019
359,wesley johnson,915243,2015
1521,marshall plumlee,543471,2017
1555,deron williams,259526,2017
531,jimmy butler,16407500,2016
2428,cedi osman,2775000,2019
1581,alex poythress,35166,2017
400,chris douglas-roberts,915243,2015
1342,demetrius jackson,1450000,2017
141,luis scola,4868499,2015
2751,jj redick,13486300,2020
733,dante cunningham,2850000,2016
1085,michael kidd-gilchrist,13000000,2017
1119,tyreke evans,10203755,2017
1756,ben simmons,6434520,2018
1167,carl landry,6500000,2017
1117,zach randolph,10361445,2017
2497,dzanan musa,1632240,2019
2445,donte divincenzo,2481000,2019
2508,damian jones,1544951,2019
3048,joe johnson,1620564,2020
300,lamar odom,1448490,2015
1978,ike anigbogu,1378242,2018
664,jonas valanciunas,4660482,2016
824,javale mcgee,1270964,2016
3065,tyrone wallace,1588231,2020
2510,georgios papagiannis,1544951,2019
2377,ed davis,4449000,2019
2300,e'twaun moore,8808685,2019
1824,malik monk,3447480,2018
872,pablo prigioni,947726,2016
2295,jared dudley,9530000,2019
2911,domantas sabonis,3529555,2020
766,zach lavine,2148360,2016
1140,sergio rodriguez,8000000,2017
2465,grayson allen,2074320,2019
2695,bradley beal,27093019,2020
2797,jerami grant,9346153,2020
956,jarrid famous,525093,2016
2111,e.j. singler,543471,2018
119,greg monroe,5479934,2015
118,andrew wiggins,5510640,2015
2667,lebron james,37436858,2020
1793,de'aaron fox,4609200,2018
597,corey brewer,8229375,2016
1398,markel brown,980431,2017
2853,mo bamba,5697600,2020
2298,rajon rondo,9000000,2019
1013,cory jefferson,49709,2016
477,dahntay jones,387632,2015
1802,kris dunn,4221000,2018
3013,josh hart,1655160,2020
1915,quinn cook,1544951,2018
1228,kris humphries,4000000,2017
1850,thon maker,2799720,2018
2032,elton brand,980431,2018
3062,malcolm miller,1588231,2020
