X,game_id,season
5052,21700092,2017
6207,21600326,2016
119,22001058,2020
4214,21700939,2017
359,22000836,2020
5889,21600647,2016
2722,21801056,2018
3439,21800331,2018
597,22000024,2020
7425,21500513,2015
5494,21601041,2016
7626,21500314,2015
6394,21600131,2016
1013,22000251,2020
4573,21700584,2017
1802,21900593,2019
7465,21500479,2015
3331,21800450,2018
3401,21800372,2018
7828,21500121,2015
6011,21600528,2016
1228,41900315,2019
1850,21900539,2019
2032,21900357,2019
6986,21500951,2015
3432,21800337,2018
7891,21500046,2015
6171,21600367,2016
1112,22000135,2020
6224,21600310,2016
4601,21700551,2017
6331,21600206,2016
85,42000161,2020
689,22000587,2020
6418,21600109,2016
4322,21700827,2017
6400,21600137,2016
6149,21600374,2016
2268,21900129,2019
7097,21500853,2015
891,22000376,2020
1834,21900566,2019
6403,21600121,2016
1183,12000032,2020
2470,41800304,2018
3357,21800418,2018
7803,21500142,2015
3797,11800048,2018
7752,21500193,2015
2945,21800829,2018
8013,11500038,2015
839,22000430,2020
2704,21801068,2018
877,22000398,2020
4600,21700550,2017
7689,21500261,2015
1553,21900845,2019
4924,21700234,2017
5346,21601181,2016
7316,21500626,2015
1310,21901310,2019
3685,21800093,2018
5672,21600862,2016
2476,41800301,2018
1911,21900490,2019
2622,21801160,2018
6952,21500993,2015
7055,21500886,2015
3204,21800571,2018
4909,21700249,2017
1045,22000221,2020
4285,21700871,2017
3219,21800561,2018
2072,21900324,2019
3322,21800453,2018
1311,21901311,2019
4640,21700509,2017
5629,21600898,2016
6951,21500992,2015
4184,21700967,2017
4261,21700896,2017
212,22000970,2020
5285,41600132,2016
5698,21600831,2016
4315,21700835,2017
4912,21700237,2017
4709,21700448,2017
2196,21900198,2019
251,22000927,2020
5262,41600156,2016
5121,21700033,2017
633,22000640,2020
3628,21800142,2018
6536,11600099,2016
423,22000772,2020
729,22000544,2020
1458,21900945,2019
4783,21700372,2017
3238,21800541,2018
1583,21900809,2019
2388,21900007,2019
5449,21601085,2016
3880,41700136,2017
4835,21700313,2017
232,22000954,2020
1609,21900789,2019
2787,21800990,2018
838,22000429,2020
2029,21900369,2019
1499,21900897,2019
1184,12000033,2020
4686,21700470,2017
4943,21700209,2017
1427,21900969,2019
5394,21601140,2016
6490,21600035,2016
3544,21800227,2018
5817,21600714,2016
4170,21700980,2017
3419,21800364,2018
902,22000372,2020
1617,21900781,2019
739,22000540,2020
5328,21601211,2016
1957,21900442,2019
4883,21700274,2017
1650,21900743,2019
326,22000864,2020
432,22000766,2020
1953,21900454,2019
3553,21800218,2018
6348,21600174,2016
16,42000301,2020
2690,21801082,2018
6038,21600499,2016
1461,21900932,2019
4958,21700198,2017
6412,21600118,2016
7630,21500318,2015
4706,21700445,2017
785,22000496,2020
980,22000294,2020
3192,21800577,2018
181,22000999,2020
7835,21500110,2015
7621,21500325,2015
7061,21500878,2015
4012,21701140,2017
7637,21500310,2015
5867,21600673,2016
3383,21800401,2018
5516,21601017,2016
1039,22000228,2020
5678,21600852,2016
3470,21800302,2018
8007,11500046,2015
4187,21700970,2017
2363,21900027,2019
483,22000709,2020
5663,21600871,2016
5998,21600530,2016
756,22000513,2020
6416,21600107,2016
2326,21900074,2019
7877,21500063,2015
6771,21501165,2015
2794,21800982,2018
6976,21500968,2015
3420,21800350,2018
5795,21600735,2016
7708,21500230,2015
189,22000992,2020
1579,21900818,2019
2716,21801050,2018
4857,21700292,2017
5255,41600231,2016
6613,11600019,2016
7541,21500398,2015
3119,21800652,2018
7901,21500042,2015
3981,21701171,2017
6208,21600327,2016
2477,41800311,2018
990,22000273,2020
6776,21501170,2015
6901,21501037,2015
7540,21500409,2015
3865,41700213,2017
56,42000134,2020
765,22000504,2020
6791,21501144,2015
5399,21601129,2016
1794,21900598,2019
3475,21800295,2018
5531,21601001,2016
2367,21900031,2019
7560,21500385,2015
4458,21700688,2017
2016,21900386,2019
3237,21800540,2018
2012,21900382,2019
1481,21900925,2019
6756,21501178,2015
3333,21800437,2018
3016,21800761,2018
7550,21500390,2015
7727,21500225,2015
1445,21900949,2019
3888,41700125,2017
7340,21500608,2015
1658,21900737,2019
6979,21500971,2015
3059,21800706,2018
2114,21900280,2019
1343,21901284,2019
7557,21500397,2015
5327,21601210,2016
3160,21800609,2018
6357,21600183,2016
3690,21800085,2018
1157,22000101,2020
2231,21900161,2019
3034,21800737,2018
69,42000163,2020
5777,21600746,2016
1908,21900487,2019
6371,21600166,2016
3976,21701179,2017
573,22000050,2020
2991,21800778,2018
4151,21701003,2017
7277,21500675,2015
3258,21800512,2018
4804,21700340,2017
1041,22000217,2020
4113,21701039,2017
5215,11700009,2017
1497,21900895,2019
5224,41600403,2016
7108,21500837,2015
5033,21700130,2017
7059,21500890,2015
7892,21500047,2015
5389,21601152,2016
5153,11700069,2017
4264,21700886,2017
1602,21900798,2019
1161,22000088,2020
5186,11700042,2017
4119,21701029,2017
5037,21700106,2017
1480,21900923,2019
6307,21600212,2016
2121,21900270,2019
7124,21500822,2015
5539,21600996,2016
7148,21500793,2015
1742,21900663,2019
4570,21700581,2017
5758,21600773,2016
6356,21600182,2016
6937,21501008,2015
1309,21901308,2019
4674,21700472,2017
7679,21500265,2015
7461,21500475,2015
7242,21500703,2015
5167,11700064,2017
1488,21900915,2019
4474,21700678,2017
7230,21500720,2015
7546,21500386,2015
978,22000293,2020
5985,21600548,2016
7474,21500473,2015
940,22000332,2020
7337,21500605,2015
5363,21601169,2016
4389,21700763,2017
846,22000423,2020
5054,21700094,2017
5009,21700138,2017
4295,21700859,2017
5680,21600854,2016
4219,21700927,2017
4872,21700283,2017
6346,21600191,2016
1401,11900125,2019
237,22000945,2020
4965,21700177,2017
2904,21800869,2018
6689,41500164,2015
1051,22000203,2020
5677,21600851,2016
934,22000341,2020
6162,21600371,2016
1554,21900846,2019
1569,21900831,2019
1946,21900447,2019
1821,21900567,2019
6574,11600055,2016
4969,21700181,2017
7839,21500100,2015
7982,11500073,2015
1331,21901296,2019
7953,11500098,2015
5578,21600954,2016
3596,21800179,2018
7838,21500099,2015
3122,21800655,2018
3853,41700303,2017
2339,21900062,2019
5545,21600988,2016
120,22001059,2020
6830,21501121,2015
293,22000895,2020
7133,21500813,2015
6035,21600496,2016
5038,21700107,2017
1624,21900771,2019
7252,21500697,2015
1748,21900642,2019
390,22000199,2020
169,22000160,2020
7971,11500075,2015
1612,21900792,2019
5259,41600106,2016
7434,21500507,2015
287,22000902,2020
4755,21700403,2017
2170,21900232,2019
3602,21800168,2018
2583,21801181,2018
2415,11900060,2019
2485,41800215,2018
290,22000892,2020
2175,21900217,2019
4342,21700816,2017
5405,21601134,2016
3587,21800186,2018
1144,22000102,2020
3360,21800406,2018
6570,11600065,2016
7214,21500734,2015
1784,21900604,2019
991,22000274,2020
67,42000123,2020
1055,22000209,2020
5193,11700035,2017
584,22000031,2020
1632,21900766,2019
7786,21500152,2015
1770,21900635,2019
7738,21500205,2015
7601,21500334,2015
880,22000394,2020
335,22000860,2020
876,22000392,2020
6591,11600040,2016
5822,21600704,2016
3818,11800026,2018
3672,21800097,2018
7188,21500753,2015
1108,22000147,2020
4168,21700978,2017
6929,21501017,2015
3387,21800389,2018
4018,21701132,2017
3411,21800356,2018
7318,21500628,2015
1225,41900402,2019
6321,21600209,2016
1549,21900856,2019
4568,21700579,2017
2984,21800795,2018
7664,21500280,2015
2551,21801227,2018
411,22000776,2020
6662,41500202,2015
2905,21800870,2018
3659,21800112,2018
1745,21900639,2019
1678,21900726,2019
2518,41800124,2018
4357,21700791,2017
538,22000653,2020
7331,21500612,2015
2009,21900393,2019
5510,21601025,2016
7131,21500811,2015
6626,11600002,2016
7366,21500586,2015
3423,21800353,2018
1628,21900775,2019
1046,22000222,2020
4496,21700659,2017
4525,21700633,2017
4527,21700619,2017
3381,21800399,2018
1208,12000017,2020
7973,11500077,2015
4617,21700531,2017
1988,21900414,2019
3394,21800384,2018
2059,21900339,2019
6846,21501106,2015
1058,22000211,2020
5260,41600176,2016
7955,11500101,2015
3481,21800286,2018
5948,21600581,2016
2821,21800957,2018
6887,21501066,2015
6985,21500950,2015
1986,21900411,2019
4004,21701150,2017
982,22000296,2020
7195,21500746,2015
6709,41500111,2015
718,22000565,2020
5173,11700058,2017
7702,21500243,2015
391,22000801,2020
842,22000433,2020
